symbol,tf,time,open,high,low,close,tick_volume,spread,real_volume
WDO$N,M30,1617181200,5773.0,5778.0,5736.0,5749.0,100506,1,258795
WDO$N,M30,1617183000,5749.0,5775.5,5749.0,5764.0,92501,1,241528
WDO$N,M30,1617184800,5763.5,5776.5,5762.0,5765.0,53969,1,158991
WDO$N,M30,1617186600,5765.0,5766.5,5741.0,5742.5,72043,1,203421
WDO$N,M30,1617188400,5742.5,5745.5,5693.5,5698.5,115849,1,361900
WDO$N,M30,1617190200,5698.0,5698.0,5643.0,5645.0,113808,1,414639
WDO$N,M30,1617192000,5645.5,5672.0,5645.0,5661.0,76469,1,267659
WDO$N,M30,1617193800,5661.0,5676.5,5658.0,5668.0,46496,1,153468
WDO$N,M30,1617195600,5668.0,5671.5,5659.5,5662.5,28897,1,107930
WDO$N,M30,1617197400,5663.0,5706.0,5661.0,5690.5,81895,1,263040
WDO$N,M30,1617199200,5690.5,5693.5,5667.0,5680.5,56385,1,178435
WDO$N,M30,1617201000,5680.5,5686.5,5670.5,5684.0,33760,1,107236
WDO$N,M30,1617202800,5684.0,5686.5,5667.5,5680.5,37751,1,114987
WDO$N,M30,1617204600,5680.5,5686.0,5632.5,5651.0,78980,1,256558
WDO$N,M30,1617206400,5650.5,5651.0,5632.5,5637.5,35086,1,108165
WDO$N,M30,1617208200,5637.5,5646.0,5630.5,5638.0,38296,1,115849
WDO$N,M30,1617210000,5638.5,5644.0,5633.0,5636.0,20489,1,60321
WDO$N,M30,1617211800,5635.5,5649.5,5631.5,5641.0,22049,1,81941
WDO$N,M30,1617267600,5635.0,5668.0,5616.5,5660.5,118110,1,330400
WDO$N,M30,1617269400,5660.5,5692.5,5654.0,5680.0,111849,1,308545
WDO$N,M30,1617271200,5680.5,5686.5,5670.5,5678.0,66663,1,190020
WDO$N,M30,1617273000,5677.5,5716.5,5670.0,5707.0,102512,1,293413
WDO$N,M30,1617274800,5706.5,5709.5,5685.5,5695.5,70691,1,202405
WDO$N,M30,1617276600,5695.0,5700.5,5684.5,5690.5,48593,1,151200
WDO$N,M30,1617278400,5690.5,5703.5,5687.5,5691.0,43983,1,140035
WDO$N,M30,1617280200,5690.5,5699.0,5685.0,5698.0,35790,1,107259
WDO$N,M30,1617282000,5698.0,5706.5,5694.5,5701.0,39183,1,118761
WDO$N,M30,1617283800,5701.0,5713.0,5696.0,5706.0,39711,1,121990
WDO$N,M30,1617285600,5705.5,5726.0,5705.5,5720.0,43138,1,128563
WDO$N,M30,1617287400,5720.0,5722.5,5706.5,5709.0,35133,1,109388
WDO$N,M30,1617289200,5709.5,5712.5,5701.0,5705.5,28388,1,86793
WDO$N,M30,1617291000,5705.5,5719.0,5704.0,5716.5,32576,1,104024
WDO$N,M30,1617292800,5717.0,5718.0,5711.0,5716.0,24184,1,73746
WDO$N,M30,1617294600,5715.5,5724.0,5712.5,5723.0,29946,1,98556
WDO$N,M30,1617296400,5723.0,5733.5,5714.5,5729.5,30297,1,106711
WDO$N,M30,1617298200,5729.5,5737.0,5716.5,5718.5,19472,1,73663
WDO$N,M30,1617613200,5678.5,5692.5,5668.0,5690.5,93227,1,224535
WDO$N,M30,1617615000,5690.0,5691.0,5663.5,5685.0,93352,1,221801
WDO$N,M30,1617616800,5685.0,5689.0,5645.0,5652.0,109581,1,301799
WDO$N,M30,1617618600,5652.5,5664.0,5649.5,5661.0,66148,1,188084
WDO$N,M30,1617620400,5661.0,5662.5,5642.0,5661.0,61156,1,183595
WDO$N,M30,1617622200,5661.0,5673.0,5650.5,5660.5,69926,1,194801
WDO$N,M30,1617624000,5661.0,5663.5,5650.0,5653.5,43733,1,132922
WDO$N,M30,1617625800,5654.0,5668.0,5652.0,5667.0,33760,1,104303
WDO$N,M30,1617627600,5667.0,5668.0,5657.0,5665.5,32084,1,97405
WDO$N,M30,1617629400,5665.0,5675.5,5659.5,5675.0,36840,1,107059
WDO$N,M30,1617631200,5674.5,5682.0,5667.5,5671.5,50560,1,168045
WDO$N,M30,1617633000,5671.0,5685.0,5668.0,5670.0,44154,1,136493
WDO$N,M30,1617634800,5670.0,5680.0,5670.0,5679.0,34284,1,113761
WDO$N,M30,1617636600,5679.5,5687.5,5671.0,5678.5,46965,1,143684
WDO$N,M30,1617638400,5679.0,5691.0,5674.5,5682.0,40168,1,142448
WDO$N,M30,1617640200,5682.0,5689.0,5676.5,5687.5,32041,1,109672
WDO$N,M30,1617642000,5687.5,5689.5,5676.0,5680.0,19411,1,54572
WDO$N,M30,1617643800,5679.5,5686.0,5672.0,5672.0,13364,1,40993
WDO$N,M30,1617699600,5675.0,5678.5,5641.5,5652.0,124768,1,324092
WDO$N,M30,1617701400,5652.0,5669.5,5649.5,5656.0,99346,1,255239
WDO$N,M30,1617703200,5656.0,5664.0,5648.0,5651.0,74157,1,204624
WDO$N,M30,1617705000,5651.0,5658.0,5644.5,5646.0,69890,1,199605
WDO$N,M30,1617706800,5645.5,5651.5,5623.5,5632.0,99570,1,285669
WDO$N,M30,1617708600,5632.5,5635.5,5618.0,5622.5,61688,1,192141
WDO$N,M30,1617710400,5622.5,5629.5,5617.0,5622.0,43914,1,140492
WDO$N,M30,1617712200,5622.5,5626.0,5620.0,5623.0,20253,1,65135
WDO$N,M30,1617714000,5623.5,5623.5,5604.0,5606.5,50773,1,175012
WDO$N,M30,1617715800,5606.5,5621.0,5605.0,5619.5,31419,1,99420
WDO$N,M30,1617717600,5619.0,5636.5,5619.0,5634.5,52736,1,165828
WDO$N,M30,1617719400,5634.5,5636.5,5614.0,5616.5,49839,1,149640
WDO$N,M30,1617721200,5617.0,5617.5,5583.0,5602.0,68338,1,250021
WDO$N,M30,1617723000,5601.5,5610.0,5600.5,5609.5,30167,1,119199
WDO$N,M30,1617724800,5609.5,5614.5,5603.0,5606.5,33751,1,125312
WDO$N,M30,1617726600,5607.0,5615.0,5597.5,5609.0,35838,1,115863
WDO$N,M30,1617728400,5609.0,5609.5,5598.5,5602.0,17379,1,54761
WDO$N,M30,1617730200,5602.0,5606.0,5592.5,5599.5,18054,1,65426
WDO$N,M30,1617786000,5597.0,5614.0,5580.5,5583.0,134902,1,372745
WDO$N,M30,1617787800,5582.5,5613.0,5581.0,5605.0,104459,1,277141
WDO$N,M30,1617789600,5604.5,5608.5,5585.0,5585.5,87277,1,228540
WDO$N,M30,1617791400,5585.5,5605.0,5574.0,5587.5,107166,1,300132
WDO$N,M30,1617793200,5588.0,5593.0,5565.0,5566.0,77152,1,228862
WDO$N,M30,1617795000,5566.0,5575.5,5556.5,5565.5,82787,1,239949
WDO$N,M30,1617796800,5566.0,5590.5,5563.5,5586.5,60725,1,181468
WDO$N,M30,1617798600,5586.5,5626.5,5585.0,5615.0,87748,1,283301
WDO$N,M30,1617800400,5615.5,5641.5,5610.5,5634.0,61168,1,196136
WDO$N,M30,1617802200,5634.0,5638.0,5616.0,5619.5,51415,1,150079
WDO$N,M30,1617804000,5619.5,5626.0,5612.5,5614.5,32844,1,103997
WDO$N,M30,1617805800,5614.0,5621.0,5601.0,5603.0,45049,1,134311
WDO$N,M30,1617807600,5602.5,5623.5,5595.0,5622.0,51788,1,153916
WDO$N,M30,1617809400,5622.0,5648.0,5619.0,5642.0,62082,1,204952
WDO$N,M30,1617811200,5642.5,5661.0,5636.5,5658.5,45600,1,147520
WDO$N,M30,1617813000,5658.5,5663.0,5642.0,5653.5,39177,1,136698
WDO$N,M30,1617814800,5653.5,5653.5,5630.0,5630.5,25271,1,80984
WDO$N,M30,1617816600,5630.5,5638.0,5618.0,5625.5,25538,1,95248
WDO$N,M30,1617872400,5615.0,5621.5,5592.0,5611.0,113520,1,295529
