symbol,tf,time,open,high,low,close,tick_volume,spread,real_volume
WSP$N,M15,1617008400,3952.0,3957.75,3950.25,3952.75,79,1,301
WSP$N,M15,1617009300,3952.25,3952.75,3948.0,3948.0,25,1,38
WSP$N,M15,1617010200,3949.0,3949.0,3945.5,3946.75,22,1,88
WSP$N,M15,1617011100,3945.75,3948.0,3945.75,3946.75,7,1,17
WSP$N,M15,1617012000,3946.75,3948.0,3945.0,3945.0,16,1,23
WSP$N,M15,1617012900,3945.5,3950.5,3945.5,3950.5,12,1,37
WSP$N,M15,1617013800,3951.25,3962.75,3951.25,3958.0,55,1,307
WSP$N,M15,1617014700,3957.0,3958.0,3947.5,3948.0,45,1,221
WSP$N,M15,1617015600,3947.5,3950.75,3942.5,3947.5,59,1,209
WSP$N,M15,1617016500,3944.0,3947.0,3938.0,3938.0,37,1,246
WSP$N,M15,1617017400,3937.5,3946.0,3937.5,3944.5,22,1,78
WSP$N,M15,1617018300,3941.75,3942.0,3937.0,3942.0,21,1,61
WSP$N,M15,1617019200,3937.75,3941.0,3935.0,3940.5,26,1,441
WSP$N,M15,1617020100,3939.0,3946.25,3936.0,3946.25,30,1,404
WSP$N,M15,1617021000,3945.25,3951.25,3945.25,3949.25,30,1,55
WSP$N,M15,1617021900,3948.5,3954.75,3947.25,3953.5,30,1,339
WSP$N,M15,1617022800,3953.5,3953.5,3942.5,3944.25,27,1,172
WSP$N,M15,1617023700,3950.75,3950.75,3950.25,3950.25,2,1,6
WSP$N,M15,1617024600,3951.5,3960.25,3951.5,3959.75,24,1,31
WSP$N,M15,1617025500,3960.0,3965.25,3958.25,3964.25,31,1,89
WSP$N,M15,1617026400,3965.0,3970.0,3965.0,3967.25,34,1,297
WSP$N,M15,1617027300,3967.25,3967.25,3962.25,3962.25,17,1,55
WSP$N,M15,1617028200,3961.25,3972.25,3961.25,3967.0,31,1,194
WSP$N,M15,1617029100,3964.0,3969.75,3962.25,3962.25,18,1,95
WSP$N,M15,1617030000,3961.25,3964.75,3958.0,3964.75,17,1,22
WSP$N,M15,1617030900,3960.0,3960.0,3960.0,3960.0,1,1,5
WSP$N,M15,1617031800,3959.75,3961.0,3955.75,3960.0,14,1,21
WSP$N,M15,1617032700,3965.75,3966.25,3958.25,3959.75,23,1,40
WSP$N,M15,1617033600,3965.0,3969.75,3965.0,3967.25,22,1,54
WSP$N,M15,1617034500,3970.0,3973.25,3967.75,3972.75,17,1,50
WSP$N,M15,1617035400,3973.0,3973.0,3966.0,3966.0,14,1,60
WSP$N,M15,1617036300,3965.0,3968.75,3958.25,3958.25,27,1,79
WSP$N,M15,1617037200,3963.25,3967.75,3963.25,3967.75,7,1,24
WSP$N,M15,1617038100,3969.75,3976.75,3964.75,3967.75,60,1,246
WSP$N,M15,1617039000,3967.5,3968.25,3965.75,3968.25,22,1,130
WSP$N,M15,1617094800,3950.25,3951.5,3947.0,3951.5,51,1,117
WSP$N,M15,1617095700,3952.75,3952.75,3949.0,3950.75,21,1,101
WSP$N,M15,1617096600,3948.75,3949.0,3945.25,3946.75,20,1,107
WSP$N,M15,1617097500,3946.75,3948.5,3946.0,3948.5,9,1,14
WSP$N,M15,1617098400,3948.0,3950.75,3948.0,3950.75,10,1,20
WSP$N,M15,1617099300,3951.25,3952.5,3950.75,3950.75,8,1,18
WSP$N,M15,1617100200,3951.75,3953.0,3944.5,3947.5,189,1,1207
WSP$N,M15,1617101100,3946.0,3946.0,3941.0,3944.0,21,1,72
WSP$N,M15,1617102000,3947.5,3947.5,3942.0,3946.5,10,1,90
WSP$N,M15,1617102900,3947.0,3947.0,3937.0,3947.0,28,1,251
WSP$N,M15,1617103800,3947.75,3954.5,3947.5,3954.5,26,1,151
WSP$N,M15,1617104700,3952.5,3954.25,3948.0,3948.0,19,1,138
WSP$N,M15,1617105600,3950.5,3954.25,3948.75,3951.5,22,1,136
WSP$N,M15,1617106500,3953.5,3953.5,3950.0,3950.5,24,1,132
WSP$N,M15,1617107400,3952.75,3954.5,3952.75,3953.0,10,1,76
WSP$N,M15,1617108300,3953.75,3955.25,3946.75,3946.75,59,1,628
WSP$N,M15,1617109200,3949.25,3949.25,3946.25,3946.25,7,1,7
WSP$N,M15,1617110100,3945.75,3945.75,3941.75,3944.25,10,1,40
WSP$N,M15,1617111000,3945.75,3948.75,3945.0,3946.0,14,1,55
WSP$N,M15,1617111900,3945.0,3947.25,3943.75,3947.25,8,1,26
WSP$N,M15,1617112800,3944.25,3944.25,3942.75,3943.5,6,1,7
WSP$N,M15,1617113700,3945.5,3949.75,3945.5,3949.25,11,1,26
WSP$N,M15,1617114600,3949.0,3949.5,3946.25,3948.25,16,1,44
WSP$N,M15,1617115500,3948.75,3949.5,3948.5,3948.5,3,1,16
WSP$N,M15,1617116400,3947.25,3949.5,3944.25,3949.5,13,1,44
WSP$N,M15,1617117300,3949.75,3951.5,3947.0,3950.0,20,1,70
WSP$N,M15,1617118200,3950.0,3952.5,3948.0,3948.0,36,1,206
WSP$N,M15,1617119100,3949.5,3958.75,3949.5,3958.0,78,1,315
WSP$N,M15,1617120000,3958.0,3960.25,3955.5,3955.75,63,1,530
WSP$N,M15,1617120900,3957.0,3958.5,3957.0,3958.5,8,1,19
WSP$N,M15,1617121800,3959.5,3960.25,3955.0,3955.0,25,1,188
WSP$N,M15,1617122700,3953.5,3956.5,3942.75,3956.5,40,1,640
WSP$N,M15,1617123600,3955.25,3955.25,3951.0,3953.0,13,1,141
WSP$N,M15,1617124500,3953.0,3953.5,3950.0,3950.5,9,1,33
WSP$N,M15,1617125400,3952.75,3953.0,3951.75,3953.0,7,1,29
WSP$N,M15,1617181200,3956.25,3957.0,3955.0,3957.0,11,1,12
WSP$N,M15,1617182100,3957.0,3958.0,3955.5,3957.0,6,1,48
