ticker,symbol,future,expiry,tframe,time,open,high,low,close,tick_volume,spread,real_volume
BIT,BITJ25,J25,2025-04-26,M5,1742921400.0,508520.0,509520.0,508520.0,509520.0,2.0,20.0,2.0
BIT,BITJ25,J25,2025-04-26,M5,1743006600.0,500120.0,500320.0,500120.0,500320.0,2.0,20.0,2.0
BIT,BITJ25,J25,2025-04-26,M5,1743006900.0,500480.0,500580.0,500480.0,500580.0,2.0,20.0,2.0
BIT,BITJ25,J25,2025-04-26,M5,1743007500.0,502000.0,502000.0,502000.0,502000.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743009000.0,504220.0,504220.0,504220.0,504220.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743066000.0,502220.0,504820.0,502220.0,504820.0,3.0,20.0,4.0
BIT,BITJ25,J25,2025-04-26,M5,1743066300.0,505300.0,506780.0,505300.0,506780.0,7.0,20.0,14.0
BIT,BITJ25,J25,2025-04-26,M5,1743066600.0,504940.0,504940.0,504940.0,504940.0,1.0,20.0,2.0
BIT,BITJ25,J25,2025-04-26,M5,1743069000.0,507200.0,507200.0,507200.0,507200.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743070200.0,506520.0,506520.0,506520.0,506520.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743071100.0,506240.0,506240.0,504280.0,504280.0,6.0,20.0,11.0
BIT,BITJ25,J25,2025-04-26,M5,1743071400.0,505500.0,505500.0,502720.0,502720.0,5.0,20.0,6.0
BIT,BITJ25,J25,2025-04-26,M5,1743071700.0,503060.0,503060.0,501640.0,501780.0,5.0,20.0,9.0
BIT,BITJ25,J25,2025-04-26,M5,1743072000.0,501160.0,501160.0,501160.0,501160.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743072300.0,500780.0,500780.0,500780.0,500780.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743073200.0,503080.0,503080.0,503080.0,503080.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743073500.0,501980.0,501980.0,501980.0,501980.0,1.0,20.0,1.0
BIT,BITJ25,J25,2025-04-26,M5,1743074100.0,503000.0,503000.0,503000.0,503000.0,6.0,20.0,16.0
