ticker,symbol,future,expiry,tframe,time,open,high,low,close,tick_volume,spread,real_volume
WSP,WSPM25,M25,2025-06-20,M5,1734619200.0,6023.0,6023.0,6023.0,6023.0,1.0,1.0,30.0
WSP,WSPM25,M25,2025-06-20,M5,1734690600.0,5964.0,5964.0,5964.0,5964.0,1.0,1.0,8.0
WSP,WSPM25,M25,2025-06-20,M5,1734693600.0,5968.0,5968.0,5968.0,5968.0,2.0,1.0,20.0
WSP,WSPM25,M25,2025-06-20,M5,1734704400.0,6105.0,6105.0,6105.0,6105.0,2.0,1.0,16.0
WSP,WSPM25,M25,2025-06-20,M5,1734952500.0,6054.25,6054.25,6054.25,6054.25,1.0,1.0,20.0
WSP,WSPM25,M25,2025-06-20,M5,1734955500.0,6038.5,6038.5,6038.25,6038.25,2.0,1.0,40.0
WSP,WSPM25,M25,2025-06-20,M5,1734955800.0,6031.0,6037.75,6031.0,6035.25,3.0,1.0,60.0
WSP,WSPM25,M25,2025-06-20,M5,1735225800.0,6158.25,6158.25,6158.25,6158.25,1.0,1.0,2.0
WSP,WSPM25,M25,2025-06-20,M5,1735226700.0,6163.25,6163.25,6163.25,6163.25,1.0,1.0,2.0
WSP,WSPM25,M25,2025-06-20,M5,1735312200.0,6018.5,6018.5,6018.5,6018.5,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735312500.0,6063.5,6065.0,6063.5,6065.0,2.0,1.0,2.0
WSP,WSPM25,M25,2025-06-20,M5,1735321200.0,6066.75,6066.75,6066.75,6066.75,1.0,1.0,5.0
WSP,WSPM25,M25,2025-06-20,M5,1735575900.0,6036.25,6042.0,6036.25,6042.0,6.0,1.0,6.0
WSP,WSPM25,M25,2025-06-20,M5,1735576200.0,6044.5,6044.5,6042.25,6042.25,2.0,1.0,2.0
WSP,WSPM25,M25,2025-06-20,M5,1735577100.0,6044.5,6044.5,6044.5,6044.5,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735577700.0,6047.0,6047.0,6047.0,6047.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735581000.0,6037.5,6037.5,6037.25,6037.25,2.0,1.0,25.0
WSP,WSPM25,M25,2025-06-20,M5,1735581300.0,6029.0,6029.0,6027.75,6027.75,2.0,1.0,3.0
WSP,WSPM25,M25,2025-06-20,M5,1735809600.0,6054.5,6054.5,6054.5,6054.5,1.0,1.0,20.0
WSP,WSPM25,M25,2025-06-20,M5,1735809900.0,6055.0,6055.0,6053.5,6053.75,22.0,1.0,22.0
WSP,WSPM25,M25,2025-06-20,M5,1735810200.0,6054.0,6054.5,6051.75,6051.75,33.0,1.0,33.0
WSP,WSPM25,M25,2025-06-20,M5,1735810500.0,6051.5,6052.75,6051.5,6052.75,5.0,1.0,5.0
WSP,WSPM25,M25,2025-06-20,M5,1735810800.0,6050.0,6050.0,6050.0,6050.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735811100.0,6046.5,6046.5,6046.25,6046.25,2.0,1.0,2.0
WSP,WSPM25,M25,2025-06-20,M5,1735812000.0,6042.75,6042.75,6042.75,6042.75,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735813200.0,6038.25,6038.25,6038.25,6038.25,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735813800.0,6039.25,6039.25,6039.25,6039.25,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735814400.0,6044.75,6044.75,6044.75,6044.75,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735815600.0,6029.0,6029.0,6029.0,6029.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735816800.0,6029.0,6030.5,6029.0,6030.5,2.0,1.0,2.0
WSP,WSPM25,M25,2025-06-20,M5,1735817700.0,6002.75,6007.0,6002.75,6006.25,14.0,1.0,14.0
WSP,WSPM25,M25,2025-06-20,M5,1735818600.0,6026.0,6026.0,6026.0,6026.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735818900.0,6033.0,6033.0,6033.0,6033.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735821300.0,6004.0,6005.0,6004.0,6005.0,4.0,1.0,4.0
WSP,WSPM25,M25,2025-06-20,M5,1735821600.0,6002.5,6004.25,6000.0,6002.0,6.0,1.0,6.0
WSP,WSPM25,M25,2025-06-20,M5,1735821900.0,6000.25,6000.25,6000.25,6000.25,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735822200.0,6015.0,6015.0,6015.0,6015.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735822800.0,6008.5,6008.5,5998.0,5998.0,2.0,1.0,2.0
WSP,WSPM25,M25,2025-06-20,M5,1735823100.0,5991.25,5991.25,5991.25,5991.25,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735823400.0,5987.75,5993.0,5987.75,5993.0,8.0,1.0,8.0
WSP,WSPM25,M25,2025-06-20,M5,1735823700.0,5996.25,5999.25,5995.0,5999.25,6.0,1.0,6.0
WSP,WSPM25,M25,2025-06-20,M5,1735827900.0,5990.75,5990.75,5990.75,5990.75,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735830300.0,5957.0,5957.0,5957.0,5957.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735830600.0,5951.0,5953.5,5947.0,5947.0,6.0,1.0,6.0
WSP,WSPM25,M25,2025-06-20,M5,1735832700.0,5951.5,5951.5,5941.0,5941.0,3.0,1.0,6.0
WSP,WSPM25,M25,2025-06-20,M5,1735833300.0,5943.0,5943.0,5943.0,5943.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735833600.0,5947.0,5949.75,5947.0,5949.75,3.0,1.0,3.0
WSP,WSPM25,M25,2025-06-20,M5,1735833900.0,5954.5,5954.5,5950.5,5952.0,3.0,1.0,3.0
WSP,WSPM25,M25,2025-06-20,M5,1735834200.0,5954.0,5954.0,5954.0,5954.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735835400.0,5962.0,5962.0,5962.0,5962.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735836300.0,5958.5,5958.5,5958.5,5958.5,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735836900.0,5957.0,5957.0,5957.0,5957.0,1.0,1.0,1.0
WSP,WSPM25,M25,2025-06-20,M5,1735837200.0,5952.0,5965.0,5952.0,5965.0,3.0,1.0,3.0
WSP,WSPM25,M25,2025-06-20,M5,1735839000.0,5978.25,5978.25,5978.25,5978.25,1.0,1.0,1.0
